Session_Name_,Trial_Index_,viewing,filename1,filename2,pair_id
BR035,11,full,f39e8c35b562470eb229890c2c547210.jpg,e00efbb3124b43f684903b0230e16252.jpg,e00efbb3124b43f684903b0230e16252.jpg|f39e8c35b562470eb229890c2c547210.jpg
BR035,12,peripheral,29a6b28353c14c38b7dd2edc13c86a0b.jpg,2c4e653610eb497da50f7420cff5c3a2.jpg,29a6b28353c14c38b7dd2edc13c86a0b.jpg|2c4e653610eb497da50f7420cff5c3a2.jpg
BR035,13,full,d392002b67b041739cb8399b1a31488a.jpg,d91c5088371c4b0dab529bd3cb8083b1.jpg,d392002b67b041739cb8399b1a31488a.jpg|d91c5088371c4b0dab529bd3cb8083b1.jpg
BR035,14,central,ad935455eb5f48a39c5f22eadb88a266.jpg,a961d9f2d5b94de584d705197202e8f2.jpg,a961d9f2d5b94de584d705197202e8f2.jpg|ad935455eb5f48a39c5f22eadb88a266.jpg
BR035,15,central,6f50c2b038564cd19a0873bf396f1549.jpg,0c5a770e3f57463f84a9897407744692.jpg,0c5a770e3f57463f84a9897407744692.jpg|6f50c2b038564cd19a0873bf396f1549.jpg
BR035,16,full,21a57415248c4e4880835e441d6e00fd.jpg,1e014f55dac948ccb2e9053666e123b4.jpg,1e014f55dac948ccb2e9053666e123b4.jpg|21a57415248c4e4880835e441d6e00fd.jpg
BR035,17,full,19fdd1aaa7244cc696ea94f64d80469d.jpg,57f6a02ebfaa4340af2adf4d066b0a6f.jpg,19fdd1aaa7244cc696ea94f64d80469d.jpg|57f6a02ebfaa4340af2adf4d066b0a6f.jpg
BR035,18,full,7f5e4bf12f9f4e159081162cf88a7fb7.jpg,5ee126f8ae6640758d5481e2689bdb81.jpg,5ee126f8ae6640758d5481e2689bdb81.jpg|7f5e4bf12f9f4e159081162cf88a7fb7.jpg
BR035,19,central,6f6a6066bee642aab2bc7f77c1fcccfc.jpg,2c9f67a45a7640b0b73200a1e2cea5b1.jpg,2c9f67a45a7640b0b73200a1e2cea5b1.jpg|6f6a6066bee642aab2bc7f77c1fcccfc.jpg
BR035,20,central,c25e54bf6c9b4fe6be877578e6efd0a9.jpg,c4a8633be9c84993b5280b95c1195940.jpg,c25e54bf6c9b4fe6be877578e6efd0a9.jpg|c4a8633be9c84993b5280b95c1195940.jpg
BR035,21,central,b5350d028ab8412c913e07306b132aba.jpg,b198dffa9f9f4b93adafd24c1e4393a6.jpg,b198dffa9f9f4b93adafd24c1e4393a6.jpg|b5350d028ab8412c913e07306b132aba.jpg
BR035,22,full,14c8f9858abc47e5b9a2f1e9c3ac2873.jpg,3e5475b4d63c4c01b7558818565a0784.jpg,14c8f9858abc47e5b9a2f1e9c3ac2873.jpg|3e5475b4d63c4c01b7558818565a0784.jpg
BR035,23,full,11b33ba71fc34d88b6a2fd4183ec3cea.jpg,1a8b5b4beb2844bfa7d6d7dd163a829f.jpg,11b33ba71fc34d88b6a2fd4183ec3cea.jpg|1a8b5b4beb2844bfa7d6d7dd163a829f.jpg
BR035,24,central,6b94d252b54242748bfb2c611bd3368f.jpg,01f6d2022368434aacc21db2a6ba4fc9.jpg,01f6d2022368434aacc21db2a6ba4fc9.jpg|6b94d252b54242748bfb2c611bd3368f.jpg
BR035,25,peripheral,dbc7fc54be7544718e0c9964f23f3005.jpg,dba5f9612a5644af81dea179dc1880aa.jpg,dba5f9612a5644af81dea179dc1880aa.jpg|dbc7fc54be7544718e0c9964f23f3005.jpg
BR035,26,peripheral,374cad12d807421b9e8295785d6bc44f.jpg,0260cc5cc34344afb50cfaeda417d65b.jpg,0260cc5cc34344afb50cfaeda417d65b.jpg|374cad12d807421b9e8295785d6bc44f.jpg
BR035,27,central,5ec0a218f01048b2b25396013c727f77.jpg,21dce860b4934055a44d34bfcea1ae4d.jpg,21dce860b4934055a44d34bfcea1ae4d.jpg|5ec0a218f01048b2b25396013c727f77.jpg
BR035,28,peripheral,3c5319f397d94ec7aafaf2c06ef19a84.jpg,777bd2d5894e4d05848bfe271c70348a.jpg,3c5319f397d94ec7aafaf2c06ef19a84.jpg|777bd2d5894e4d05848bfe271c70348a.jpg
BR035,29,full,f87e2a1fb05f440aa7f9746eec6c6289.jpg,f62a9d89afec4d79992d7ebe886b28f6.jpg,f62a9d89afec4d79992d7ebe886b28f6.jpg|f87e2a1fb05f440aa7f9746eec6c6289.jpg
BR035,30,peripheral,87ed7bc29ec646f0af4de81ded2685e3.jpg,79aae83c4ac946dc99cd85b6c84df966.jpg,79aae83c4ac946dc99cd85b6c84df966.jpg|87ed7bc29ec646f0af4de81ded2685e3.jpg
BR035,31,peripheral,002fac9e85104f41a7843820e9e87ee3.jpg,30e447f9321a4c74880915cc77f54950.jpg,002fac9e85104f41a7843820e9e87ee3.jpg|30e447f9321a4c74880915cc77f54950.jpg
BR035,32,full,15ef3e209a84417282278db5a1e3b412.jpg,0e68f17fae9949888cd2017b9b5a6754.jpg,0e68f17fae9949888cd2017b9b5a6754.jpg|15ef3e209a84417282278db5a1e3b412.jpg
BR035,33,full,7e996257944a4eeda68a18d167963086.jpg,5dd0a3014e9849d690ad2d3572c3688d.jpg,5dd0a3014e9849d690ad2d3572c3688d.jpg|7e996257944a4eeda68a18d167963086.jpg
BR035,34,central,573e9073f3ed44b094a3ffbbe8fed4db.jpg,571b534494664f83b7f796bde052bf49.jpg,571b534494664f83b7f796bde052bf49.jpg|573e9073f3ed44b094a3ffbbe8fed4db.jpg
