condition,pair,pair_id,n_trials,n_subjects,right,n_correct_known,first_seen,wrong,acc
full,b5a412d4d3fd487ab2df85a841e15426__b8a9bb6df11f42ceb2b99b77c6042903,5,32,32,32,32,9,0,1.0
full,dba5f9612a5644af81dea179dc1880aa__dbc7fc54be7544718e0c9964f23f3005,23,32,32,31,32,61,1,0.96875
full,fcd5dbb7acee4019a91dbc33d573c3cf__fec5ae6f72f445ea97f69ec64979ab06,20,32,32,32,32,53,0,1.0
peripheral,01f6d2022368434aacc21db2a6ba4fc9__6b94d252b54242748bfb2c611bd3368f,24,32,32,32,32,70,0,1.0
peripheral,0693816789364e83bc559e435816ec8f__1098187526484c62b20eb0f59faec6ef,17,32,32,30,32,55,2,0.9375
peripheral,0c5a770e3f57463f84a9897407744692__6f50c2b038564cd19a0873bf396f1549,6,32,32,32,32,20,0,1.0
peripheral,0f4c34f941f243c5b5f19c25924a9202__8b20a875626e420fa0abf64466663c6e,3,32,32,31,32,10,1,0.96875
peripheral,16a382f4e5034c13b076392b53fd53a7__53d84ab5255f41ada85a51206648ad05,18,32,32,28,32,58,4,0.875
peripheral,21dce860b4934055a44d34bfcea1ae4d__5ec0a218f01048b2b25396013c727f77,14,32,32,32,32,49,0,1.0
peripheral,2c9f67a45a7640b0b73200a1e2cea5b1__6f6a6066bee642aab2bc7f77c1fcccfc,9,32,32,32,32,33,0,1.0
peripheral,2ce212ba33494a75a00b43500a31c475__7cc37f0472f748599a44d47770b24467,22,32,32,32,32,68,0,1.0
peripheral,33aae810e78046d2bb367344aeca8294__5f9ebd55e0b74c9cae01a255bad5ef27,15,32,32,32,32,50,0,1.0
peripheral,34ad3c12373b45858d933969f9e726ac__9cab7bdcdca54367b3a074557d1d2410,16,32,32,29,32,54,3,0.90625
peripheral,483fb8e0c1804956945f7dea8c54c1d2__552e4370bcaa4f4e89777ace9335d029,13,32,32,32,32,43,0,1.0
peripheral,49b0a237c6354943a210232b051cd486__50ded7f0f1e449768df0d0de67569db6,19,32,32,9,32,59,23,0.28125
peripheral,4efa4de50430421885c96dbbc2bc3beb__804f479253e04e149591f7268bd6ffd5,23,32,32,32,32,69,0,1.0
peripheral,50bfbc370d1a41ee973ee21b33616e46__5d8146740e0944548a526c666d002462,4,32,32,32,32,11,0,1.0
peripheral,50e5fe33452444d58d5744ce8a95ed36__51fa967738384379b5637ecbfd8e0f8a,21,32,32,31,32,66,1,0.96875
peripheral,52adf4992f234d47b56ff89c2cc055b7__55f57e72bc294394b58f3a6e8ae792f6,8,32,32,9,32,27,23,0.28125
peripheral,5592a6d794c24c73849b83794d5b6a4e__8f8709d10e3b4a7d9132023c629b81f7,1,32,32,32,32,4,0,1.0
peripheral,571b534494664f83b7f796bde052bf49__573e9073f3ed44b094a3ffbbe8fed4db,2,32,32,9,32,7,23,0.28125
peripheral,586e715638b04dc3a559c4ccc9b8abfa__609dc852d3214d75a3620ce4f02b0c9f,5,32,32,30,32,15,2,0.9375
peripheral,596853509efd4aa98591a034dbefb8b5__994060a5aa3f4f62a53be760e14f4ec7,10,32,32,8,32,37,24,0.25
peripheral,a961d9f2d5b94de584d705197202e8f2__ad935455eb5f48a39c5f22eadb88a266,20,32,32,32,32,60,0,1.0
peripheral,b198dffa9f9f4b93adafd24c1e4393a6__b5350d028ab8412c913e07306b132aba,7,32,32,30,32,25,2,0.9375
peripheral,c25e54bf6c9b4fe6be877578e6efd0a9__c4a8633be9c84993b5280b95c1195940,11,32,32,8,32,39,24,0.25
peripheral,c53935d4c6ce4db892ea81327e9cda0d__c5501af926ff4037b1a8d413fe67d89b,12,32,32,6,32,42,26,0.1875
