row_index,condition,pair,pair_id,pair_first_seen_row,subject_id,trial_index,first_image,second_image,correct,correct_from_acc,n_fix,image_ok_second
774,peripheral,34ad3c12373b45858d933969f9e726ac__9cab7bdcdca54367b3a074557d1d2410,16,54,BR012,55,9cab7bdcdca54367b3a074557d1d2410.jpg,34ad3c12373b45858d933969f9e726ac.jpg,True,True,18,
775,peripheral,0693816789364e83bc559e435816ec8f__1098187526484c62b20eb0f59faec6ef,17,55,BR012,56,1098187526484c62b20eb0f59faec6ef.jpg,0693816789364e83bc559e435816ec8f.jpg,True,True,25,
776,full,79aae83c4ac946dc99cd85b6c84df966__87ed7bc29ec646f0af4de81ded2685e3,21,56,BR012,57,87ed7bc29ec646f0af4de81ded2685e3.jpg,79aae83c4ac946dc99cd85b6c84df966.jpg,True,True,21,
777,full,15ae1a8affa04c35afde69fed22060b2__3f42b0faebd6452f96de9606b432ae11,22,57,BR012,58,15ae1a8affa04c35afde69fed22060b2.jpg,3f42b0faebd6452f96de9606b432ae11.jpg,True,True,26,
778,peripheral,16a382f4e5034c13b076392b53fd53a7__53d84ab5255f41ada85a51206648ad05,18,58,BR012,59,16a382f4e5034c13b076392b53fd53a7.jpg,53d84ab5255f41ada85a51206648ad05.jpg,True,True,23,
779,peripheral,49b0a237c6354943a210232b051cd486__50ded7f0f1e449768df0d0de67569db6,19,59,BR012,60,50ded7f0f1e449768df0d0de67569db6.jpg,49b0a237c6354943a210232b051cd486.jpg,False,False,29,
780,peripheral,a961d9f2d5b94de584d705197202e8f2__ad935455eb5f48a39c5f22eadb88a266,20,60,BR012,61,ad935455eb5f48a39c5f22eadb88a266.jpg,a961d9f2d5b94de584d705197202e8f2.jpg,True,True,20,
781,full,dba5f9612a5644af81dea179dc1880aa__dbc7fc54be7544718e0c9964f23f3005,23,61,BR012,62,dbc7fc54be7544718e0c9964f23f3005.jpg,dba5f9612a5644af81dea179dc1880aa.jpg,True,True,20,
782,central,3e263a25c12942b6a691c1e3f8b8c0d0__8f37b5b2dd8845908ba518dabf9a181a,20,62,BR012,63,8f37b5b2dd8845908ba518dabf9a181a.jpg,3e263a25c12942b6a691c1e3f8b8c0d0.jpg,True,True,21,
783,central,2e6d7983fc32450c8b08a6d33217c889__8c2fde1879fd4c52adaacb2c10ab7cd5,21,63,BR012,64,8c2fde1879fd4c52adaacb2c10ab7cd5.jpg,2e6d7983fc32450c8b08a6d33217c889.jpg,True,True,24,
